name,type,company,description,amount,notes,notes2,notes3,notes4
Marie-Noëlle Battistel,pro,,Directrice de Société,18569 EUR par an,"Directrice Société Transports Voyageurs M.M.J Voyages -  1547,48 EUR nets mensuels",,,
Corinne Bouchoux,pro,,Directrice des Formations AgroCampus Ouest (EPSCP) Ministère de l'agriculture (2007-2011),NÉANT,,,,
Jeanine Dubié,pro,,Directrice d'Etablissement,49200 EUR par an,"Directrice d'Etablissement d'Hébergement de Personnes Âgées Dépendantes (EHPAD) - 4100,00 / mois - Net",,,
Esther Benbassa,pro,,Directrice d'études,54000 EUR par an,"Directrice d'études à l'école pratique des hautes études 4-14 rue Ferrus, 75014 Paris - Env. 4500 EUR mensuels",,,
Isabelle Attard,pro,,Directrice Musée Utah Beach (2010-2012),136348 EUR par an,Directrice Musée Utah Beach 2010 - 2012  -  3029 EUR / mois,,,
Razzy Hammadi,pro,,Dirigeant d'un cabinet de conseil,54000 EUR par an,Dirigeant d'un cabinet de conseil (HQB Conseil) - 4500 EUR net mensuels,,,
Jean-Paul Tuaiva,pro,,Dirigeant entreprise,2012 : 11732 EUR,JP Construction (Entreprise individuelle radiée le 31/12/2012) - De juin à Déc 2012 : 1 400 000 xpf,,,
Jean-Paul Tuaiva,pro,,Dirigeant entreprise,2012 : 18226 EUR,JP DONUTS - De Juin à Dec 2012 = 2 175 000 xp,,,
Jean-Sébastien Vialatte,pro,,Dirigeant Laboratoire d'Analyses Médicales,2012 : 266773 EUR,Laboratoire d'Analyses Médicales - BNC 2012: 266773 EUR,,,
Jean-Paul Tuaiva,pro,,Dirigeant SCI,NÉANT,SCI - De Juin à Dec 2012 = 0 xpf,,,
Sonia Lagarde,pro,,Dirigeante SARL,2012 : 12145 EUR,SARL ARENCO - 248 125 FCFP/mois soit 2 977 500 F en 2012,,,
Jean Bizet,pro,,Docteur vétérinaire,NÉANT,Abandon de ma profession en 1996 + première élection au sénat Cession de mes parts de société à cette date,,,
Pierre Charon,pro,,Droit d'auteur,,,,,
Jean-François Copé,pro,,Droits d'auteurs (livre),2013 : 11939 EUR par an,,,,
Jean-François Copé,pro,,Droits d'auteurs (livre),2012 : 6041 EUR par an,,,,
Sophie Rohfritsch,pro,,ELUE CUS,10837 EUR par an,,,,
Franck Montaugé,pro,,En congé sans solde d'ERDF-GDF depuis avril 2008,NÉANT,,,,
Jean-Jacques Urvoas,pro,,Enseignant,NÉANT,,,,
Jean-Jacques Vlody,pro,,Enseignant,45474 EUR par an,,,,
Claude Kern,pro,,Enseignant (jusqu'au 31/10/2014),41160 EUR par an,,,,
Patrick Abate,pro,,Enseignant en économie gestion,19200 EUR par an,En détachement depuis le 22/12/2014,,,
Arnaud Robinet,pro,,Enseignant-Chercheur praticien hospitalier,42036 EUR par an,3503 EUR net/mois,,,
Sabine Buis,pro,,Enseignante,11544 EUR par an,"962,00 EUR / mois",,,
Catherine Beaubatie,pro,,Enseignante,15120 EUR par an,Enseignante (temps partiel) - environ 1260 EUR/mois,,,
Isabelle Bruneau,pro,,Enseignante SES en lycée,27600 EUR par an,2300 EUR nets mensuels,,,
Véronique Louwagie,pro,,Expert-comptable,32244 EUR par an,"Au 1 janvier 2014, expert-comptable au sein d'une société d'expertise-comptable - 2 687 EUR mensuel au 01 janvier 2014",,,
Jean-pierre Vogel,pro,,Expert-comptable ALTEXA,2014 : 56000 EUR par an,Estimation,,,
Eva Sas,pro,,Experte auprès des comités d'entreprise,24000 EUR par an,2000 EUR net,,,
Jean-Pierre Vigier,pro,,Exploitant agricole,11000 EUR par an,,,,
Rémy Pointereau,pro,,Exploitant agricole - Gérant de la SCEA - Gérant de la SARL Agrotech Services,2013 : 65711 EUR,"Revenu professionnel déterminé selon le Régime du réel, soit pour 2013 la somme de 77 925 EUR (résultat provisoire cumulé de la SCEA et de la SARL)",,,
Caroline Cayeux,pro,,Exploitante agricole,NÉANT,,,,
Brigitte Bourguignon,pro,,Fonctionnaire  Conseil general,26400 EUR par an,Fonctionnaire (Cadre B) Conseil general chargée de mission - 2200,,,
Nicole Duranton,pro,,Fonctionnaire (en disponibilité),NÉANT,,,,
Jean-Louis Costes,pro,,Fonctionnaire territorial,2013 : 45554 EUR,Fonctionnaire territorial (du 1/01/2013 au 23/06/2013)  - 22772 EUR,,,
Jean-Louis Costes,pro,,Fonctionnaire territorial Directeur d'un syndicat mixte,40672 EUR par an,Fonctionnaire territorial Directeur d'un syndicat mixte (de 2009 à déc. 2012) -162688 EUR,,,
Jean-Jacques Panunzi,pro,,"Fonctionnaire territorial, mairie de Sorbollano (en disponibilité depuis le 29/09/2014)",30000 EUR par an,,,,
Catherine Troallic,pro,,Fonctionnaire territoriale,NÉANT,,,,
Arnaud Leroy,pro,,Fonctionnaire UE,68400 EUR par an,Fonctionnaire UE/ grade A9 en poste à Lisbonne (Portugal) depuis 2006 - +- 5700 EUR,,,
Lionnel Luca,pro,,Formateur,,Formateur BTS en alternance 4H/ semaine,,,
Anne-Catherine Loisier,pro,,Garde-forestier pour le privé (Groupement Forestier Philippe),90720 EUR par an,7560 EUR,,,
Antoine Herth,pro,,Gérant,2012 : 18281 EUR,Gérant de la SCEA  - Variable selon résultat = 18281 EUR en 2012,,,
Michel Fontaine,pro,,Gérant associé médecin radiologue,171215 EUR par an,,,,
Thierry Robert,pro,,Gérant de la SC,NÉANT,,,,
Thierry Robert,pro,,Gérant de la SCI,NÉANT,,,,
Thierry Robert,pro,,Gérant de la SCI,NÉANT,,,,
Thierry Robert,pro,,Gérant de la société EURL IRI,NÉANT,,,,
Thierry Robert,pro,,Gérant de la société SARL CLOI,2012 : 7000 EUR,,,,
Thierry Robert,pro,,Gérant de la société SARL H2E,NÉANT,,,,
Thierry Robert,pro,,Gérant de la société SARL Robert Promotion,NÉANT,,,,
Thierry Robert,pro,,Gérant de la société SARL SRCL,NÉANT,,,,
Caroline Cayeux,pro,,Gérant de la société SC de Mars IV,12000 EUR par an,Gérant de la société SC de Mars IV,,,
Thierry Robert,pro,,Gérant de la société SCI,NÉANT,,,,
Dominique Tian,pro,,Gérant de société,48000 EUR par an,"Gérant d'OVER LINE, Société à responsabilité limitée au capital de 8 087 900 EUR Activité : Gestion de participations dans des sociétés françaises et étrangères - 48 000 EUR en 2013",,,
Alain Chatillon,pro,,Gérant de société (RAMSES),18000 EUR par an,1500 EUR brut par mois,,,
Jean-Paul Tuaiva,pro,,GERANT DE SOCIETES: AU MIL DELICES,2012 : 5028 EUR,GERANT DE SOCIETES: AU MIL DELICES -  De Juin à Dec 2012 = 600 000 xpf,,,
Thierry Robert,pro,,Gérant d'entreprise individuelle,2012 : 20050 EUR,Gérant de l'entreprise individuelle Robert Thierry C.,,,
Jean-Frédéric Poisson,pro,,Gérant d'EURL,NÉANT,Néant (pas d'activité en 2012),,,
Hervé Morin,pro,,Gérant d'une EARL élevant des chevaux de course,NEANT,"Gérant d'une EARL élevant des chevaux de course, certains achetés ou élevés courant . Je vous joins les bilans de l'exploitation",,,
Jean-Pierre Grand,pro,,Gérant d'une SCI familiale,2014 : 57500 EUR par an,Dividendes,,,
Serge Dassault,pro,,Gérant ROND-POINT INVESTISSEMENT SARL,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Thierry Robert,pro,,Gérant SCI,NÉANT,,,,
Thierry Robert,pro,,Gérant SCI,NÉANT,,,,
Serge Dassault,pro,,Gérant SCI,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Bernard Lalande,pro,,Gérant Société à responsabilités limitées Cabinet Lalande et Associés Expertise comptable et commissariat aux comptes,123000 EUR par an,,,,
Serge Dassault,pro,,Gérant SOCIETE CIVILE IMMOBILIERE,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Philippe Armand Martin,pro,,Gérante EARL,18000 EUR par an,,,,
Philippe Briand,pro,,Gestionnaire de Patrimoine Foncier,2013 : 361200 EUR,Dividende - Revenus Fonciers non disponible,,,
Jean-Marie Tetart,pro,,Ingénieur Général des Ponts et des Eaux et forêts,,"J'ai exercé ma profession d'ingénieur Général des Ponts et des Eaux et forêts (statut de fonctionnaire) au sein du ministère de l'équipement jusqu'au 1er octobre 2012, date de ma mise en retraite",,,
Corinne Bouchoux,pro,,Ingenieure de Recherche,2011 : 45 789 EUR (janvier-sept 2011) 9 mois,,,,
Guy-Dominique Kennel,pro,,Inspecteur (IEN-ET) Rectorat de Strasbourg 6 rue de la Toussaint 67000 Strasbourg,41480 EUR par an,,,,
Alain Calmette,pro,,Inspecteur de la jeunesse et des sports,45600 EUR par an,3800 EUR brut par mois,,,
Yves Pozzo di Borgo,pro,,Inspecteur général de l'éducation nationale et de la recherche en retraite,41 545 EUR par an,,,,
Nathalie Chabanne,pro,,Inspectrice des finances publiques,33609 EUR par an,Inspectrice des finances publiques Chef de service CEPL DDFIP des Hautes Pyrénées - 2800.75 EUR net / mois,,,
Jean-Louis Roumegas,pro,,Instituteur,10800 EUR par an,Instituteur 1/2 temps (IA de l'Herault) - 900 EUR/ mois,,,
Boinali Said,pro,,Instituteur,19382 EUR par an,"Instituteur de la collectivité départementale de Mayotte - 1615,24 EUR/mois (net)",,,
Jean-Jacques Bridey,pro,,Instituteur à mi-temps (IA de l'Herault),,,,,
Loïc Hervé,pro,,Intervenant ponctuel (Formation profesionnelle)pour le compte du Centre National de la Fonction Publique,Variable,,,,
Cécile Untermaier,pro,,Magistrat administratif,74452 EUR par an,"Magistrat administratif - 7° échelon échelle B2, 5621 EUR mensuel + prime annuelle (7000 EUR).",,,
Julien Aubert,pro,,Magistrat de la Cour des Comptes,74400 EUR par an,6200 EUR par mois,,,
Georges Fenech,pro,,Magistrat mis à disposition - président de a MIVILUDES,NÉANT,,,,
Frédéric Roig,pro,,Maire,6420 EUR par an,535 EUR / mois (écrêté),,,
Gérard Bapt,pro,,Maire adjoint de Saint Jean,,Pas d'indemnité (renoncement),,,
Jean-Louis Bricout,pro,,Maire de Bohain,24964 EUR par an,"Maire de Bohain depuis Mars 2008 jusqu'à aujourd'hui - 2080,40 EUR/mois indemnité d'élu",,,
Philippe Nauche,pro,,Maire de Brive,NÉANT,depuis 2008,,,
Natacha Bouchart,pro,,Maire de Calais,Plafonnement avec gratification Sénateur,,,,
Jacques Krabal,pro,,Maire de Château-Thierry,23856 EUR par an,1.988 €,,,
Jean-Christophe Lagarde,pro,,Maire de Drancy,13221 EUR par an,,,,
Christophe Castaner,pro,,Maire de Forcalquier,2011 : 74855 EUR,Revenus 2011 (+R2012) 74855 EUR,,,
Jean-Claude Guibal,pro,,Maire de Menton,23062 EUR par an,Indemnité d'élu local mensuelle nette : 1921.71 EUR,,,
Monique Rabin,pro,,Maire de Saint Philbert de Grand Lieu,13200 EUR par an,indemnité ramenée à ~ 1100 EUR,,,
Dominique Tian,pro,,Maire de secteur 6e et 8e arrondissement de Marseille et conseiller municipal,2013 : 19989 EUR,Indemnité nette déduction faite de la fraction représentative des frais d'emploi,,,
François de Mazières,pro,,Maire de Versailles,43920 EUR par an,Maire de Versailles - 3660 euro / mois,,,
Dominique Tian,pro,,Maire des arrondissements 6ème et 7ème de Marseille,2013 : 19989 EUR,Maire de secteur 6ème et 8ème arrondissements de Marseille et Conseiller municipal - Indemnité 2013 : 19.989 EUR (indemnité nette déduction faite de la fraction représentative des frais d'emploi),,,
Edouard Philippe,pro,,Maire du Havre,,"Maire du Havre - Indemnités fixées par le conseil municipal et le conseil communautaire. Le tout, évidemment dans le respect et sous le plafond fixé par la loi.",,,
Laurent Wauquiez,pro,,Maire du Puy-en-Velay,12864 EUR par an,1.072 EUR(mensuel),,,
Julien Aubert,pro,,Maitre de Conférence prép ENA Sorbonne Ulm,1500 EUR par an,,,,
Sébastien Denaja,pro,,Maitre de conférences,NÉANT,Maitre de conférences de droit public (Université Toulouse 1) - Mis en position de détachement à la date de l'élection le 20/06/2012,,,
Julien Aubert,pro,,Maître de conférences,18000 EUR par an,Maître de conférences prep'ENS Sorbonne-Ulm,,,
Philippe Gosselin,pro,,Maître de conférences à l'IEP de Paris,1500 EUR par an,,,,
Guillaume Larrivé,pro,,Maître des requêtes au Conseil d'Etat en détachement depuis le 15/09/2015,2012 :  82114 EUR  par an,,,,
Cyril Pellevat,pro,,Manager ressources humaines,"59893,68 EUR par an",,,,
Jacky Deromedi,pro,,Managing Director APRIM FAR EAST PTE LTD,2014: 192384 EUR par an,2014: 16032 EUR net par mois,,,
Christian Hutin,pro,,Médecin,2012 : -10769 EUR,2012 - Médecin activité libérale dans une société civile de moyens de 5 médecins - Déficit annuel 10769,,,
Marie Mercier,pro,,Médecin,2014 : 20005 EUR par an,,,,
Éric Alauzet,pro,,Médecin,42000 EUR par an,3500 x 12,,,
Gérard Sebaoun,pro,,Médecin du travail,2012 : 65774 EUR,Médecin du travail Temps partiel - salarié  -  revenus 2012 : 65774 EUR,,,
Michel Amiel,pro,,Medecin généraliste,2013 : 80000 EUR,CA en 2013 80000 EUR environ,,,
René-Paul Savary,pro,,Médecin généraliste,2013 : estimation en cours,a été remplacé. Montants 2013 : estimation en cours,,,
François Commeinhes,pro,,Médecin gynécologue obstétricien,2013 : 84051 EUR par an,,,,
Daniel Chasseing,pro,,Médecin libéral,77109 EUR par an,Revenu fiscal année 2013 : 77109 EUR,,,
Alain Marty,pro,,Médecin libéral,,"Médecine libérale, cabinet médical Activité réduite : 2 demi journées par semaine - BNC : Activité déficitaire",,,
Dominique Orliac,pro,,Médecin ophtalmologiste SCP,90500 EUR par an,,,,
Daniel Chasseing,pro,,Médecin salarié à temps partiel. Cessation au 31/12/2013,2271 EUR par an,Revenu déclaré année 2013 : 2271 EUR,,,
Hervé Marseille,pro,,Membre du CESE,34059 EUR par an,"2838,27 EUR net par mois",,,
Serge Dassault,pro,,Membre du Comité Stratégique DASSAULT DEVELOPPEMENT SAS,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Serge Dassault,pro,,Membre du Comité Stratégique MARCEL DASSAULT TRADING CORPORATION,,non rémunéré,,,
Serge Dassault,pro,,Membre du Comité Stratégique SERGE DASSAULT TRADING CORPORATION,,non rémunéré,,,
Gérard Bapt,pro,,Membre du Comité Syndical de Toulouse Métropole,9600 EUR par an,Environ 800 EUR/mois,,,
Olivier Dassault,pro,,Membre du Conseil de Surveillance RUBIS,,"SCA, sise à Paris (75116) - rémunéré",,,
Pierre Charon,pro,,Ministère de la Ville,,,,,
Cécile Duflot,pro,,Ministre,94992 EUR par an,7916 EUR,,,
Aurélie Filippetti,pro,,Ministre,,,,,
Bruno Le Maire,pro,,Ministre de l'Agriculture,146400 EUR par an,12 200 EUR / mois,,,
Benoît Hamon,pro,,Ministre de l'Economie Sociale et Solidaire et de la Consommation,2012-2014: 57600 EUR par an,,,,
Benoît Hamon,pro,,Ministre de l'Education Nationale,2014 : 31200 EUR par an,Du 31/3/2014 au 25/8/2014: 7800 EUR par mois,,,
François Lamy,pro,,Ministre délégué à la Ville,100920 EUR par an,"8410,39 net",,,
Hélène Conway-Mouret,pro,,Ministre déléguée aux Français de l'Etranger,95328 EUR par an,Traitement 7944 EUR/mois,,,
Chantal Jouanno,pro,,Ministre en charge des Sports,152136 EUR par an,12.678 EUR net mensuel,,,
Christiane Hummel,pro,,NÉANT,NÉANT,,,,
Marcel Rogemont,pro,,NÉANT,NÉANT,,,,
Hélène Geoffroy,pro,,NÉANT,NÉANT,,,,
Alain Anziani,pro,,NÉANT,NÉANT,,,,
Catherine Procaccia,pro,,NÉANT,NÉANT,,,,
Hervé Poher,pro,,NÉANT,NÉANT,,,,
Louis Pinton,pro,,NÉANT,NÉANT,,,,
Bernard Brochand,pro,,NÉANT,NÉANT,Pas d'activité professionnelle Uniquement retraites et mandat de maire et député ainsi qu'activités mentionnées au 10 ci-dessous.,,,
Catherine Morin-Desailly,pro,,NÉANT,NÉANT,,,,
Catherine Quéré,pro,,NÉANT,NÉANT,,,,
Christian Kert,pro,,NÉANT,NÉANT,,,,
Christian Paul,pro,,NÉANT,NÉANT,Député - Indémnité parlementaire,,,
François Sauvadet,pro,,NÉANT,NÉANT,,,,
Françoise Férat,pro,,NÉANT,NÉANT,,,,
Gérald Darmanin,pro,,NÉANT,NEANT,NEANT,,,
Lucette Lousteau,pro,,NÉANT,NÉANT,,,,
Marie-Christine Dalloz,pro,,NÉANT,NÉANT,,,,
Marietta Karamanli,pro,,NÉANT,NÉANT,Députée élue en juin 2007 : avant enseignante à l'IUT du Mans - indemnité parlementaire,,,
Michel Ménard,pro,,NÉANT,NÉANT,,,,
Michel Pajon,pro,,NÉANT,NÉANT,Pas d'activités professionnelles depuis 1996,,,
Michel Vauzelle,pro,,NÉANT,NÉANT,,,,
Michèle Fournier-Armand,pro,,NÉANT,NÉANT,,,,
Philippe Vitel,pro,,NÉANT,NÉANT,,,,
Robert Navarro,pro,,NÉANT,NEANT,NEANT,,,
Abdourahamane Soilihi,pro,,NÉANT,NÉANT,,,,
Agnès Canayer,pro,,NÉANT,NÉANT,,,,
Agnès Canayer,pro,,NÉANT,NÉANT,,,,
Alain Bocquet,pro,,NÉANT,NÉANT,,,,
Alain Dufaut,pro,,NÉANT,NÉANT,,,,
Alain Fouché,pro,,NÉANT,NÉANT,,,,
Alain Joyandet,pro,,NÉANT,NÉANT,,,,
Alain Marc,pro,,NÉANT,NÉANT,,,,
Alain Milon,pro,,NÉANT,NÉANT,,,,
Alain Rousset,pro,,NÉANT,NÉANT,,,,
Albéric de Montgolfier,pro,,NÉANT,NÉANT,,,,
André Reichardt,pro,,NÉANT,NÉANT,,,,
Annick Billon,pro,,NÉANT,NÉANT,,,,
Annick Lepetit,pro,,NÉANT,NÉANT,,,,
Annie Guillemot,pro,,NÉANT,NÉANT,,,,
Antoine Lefevre,pro,,NÉANT,NÉANT,,,,
Bérengère Poletti,pro,,NÉANT,NÉANT,,,,
Bernard Cazeau,pro,,NÉANT,NÉANT,,,,
Bernard Roman,pro,,NÉANT,NÉANT,,,,
Bruno Gilles,pro,,NÉANT,NÉANT,En disponibilité non rémunérée  de mon employeur depuis 2002,,,
Bruno Retailleau,pro,,NÉANT,NÉANT,,,,
Catherine Di Folco,pro,,NÉANT,NÉANT,,,,
Catherine Tasca,pro,,NÉANT,NÉANT,,,,
Catherine Tasca,pro,,NÉANT,NÉANT,,,,
Catherine Troendlé,pro,,NÉANT,NÉANT,,,,
Charles Revet,pro,,NÉANT,NÉANT,,,,
Chaynesse Khirouni,pro,,NÉANT,NÉANT,,,,
Christine Prunaud,pro,,NÉANT,NÉANT,,,,
Christophe-André Frassa,pro,,NÉANT,NÉANT,,,,
Claude Haut,pro,,NÉANT,NÉANT,,,,
Claudine Lepage,pro,,Retraitée (cadre secteur formation),NÉANT,,,,
Colette Giudicelli,pro,,NÉANT,NÉANT,,,,
Daniel Dubois,pro,,NÉANT,NÉANT,,,,
Daniel Laurent,pro,,NÉANT,NÉANT,,,,
David Comet,pro,,NÉANT,NÉANT,,,,
David Rachline,pro,,NÉANT,NÉANT,,,,
Didier Guillaume,pro,,NÉANT,NÉANT,,,,
Didier Mandelli,pro,,NÉANT,NÉANT,,,,
Didier Marie,pro,,NÉANT,NÉANT,,,,
Didier Robert,pro,,NÉANT,NÉANT,,,,
Dominique Estrosi Sassone,pro,,NÉANT,NÉANT,,,,
Dominique Le Mèner,pro,,NÉANT,NÉANT,,,,
Éliane Giraud,pro,,NÉANT,NÉANT,,,,
Élisabeth Doineau,pro,,NÉANT,NÉANT,,,,
Elisabeth Lamure,pro,,NÉANT,NÉANT,,,,
Évelyne Yonnet-Salvator,pro,,NÉANT,NÉANT,,,,
Fabienne Keller,pro,,NÉANT,NÉANT,,,,
Francis Vercamer,pro,,NÉANT,NÉANT,,,,
François Bonhomme,pro,,NÉANT,NÉANT,,,,
François Marc,pro,,NÉANT,NÉANT,,,,
Françoise Cartron,pro,,NÉANT,NÉANT,,,,
Françoise Gatel,pro,,NÉANT,NÉANT,,,,
Françoise Laborde,pro,,NÉANT,NÉANT,Seulement mandat électif senatrice 01/10/2008,,,
Gaby Charroux,pro,,NÉANT,NÉANT,,,,
Gérard César,pro,,NÉANT,NÉANT,,,,
Gérard Collomb,pro,,NÉANT,NÉANT,,,,
Gérard Cornu,pro,,NÉANT,NÉANT,,,,
Gérard Dériot,pro,,NÉANT,NÉANT,,,,
Gérard Larcher,pro,,NÉANT,NÉANT,,,,
Gérard Menuel,pro,,NÉANT,NÉANT,,,,
Gilbert Bouchet,pro,,NÉANT,NÉANT,,,,
Gilbert Roger,pro,,NÉANT,NÉANT,,,,
Guénhaël Huet,pro,,NÉANT,NÉANT,,,,
Henri Emmanuelli,pro,,NÉANT,NÉANT,,,,
Hermeline Malherbe,pro,,NÉANT,NÉANT,,,,
